volume,vol_weighted_price,open,close,high,low,timestamp,num_transactions,ticker,Date
3360677.0,126.7877,128.42,126.44,128.96,125.57,1649908800000,31496,A,2022-04-14
11074802.0,161.9197,157.85,162.31,163.87,156.82,1649908800000,106546,ABBV,2022-04-14
2988859.0,161.5756,163.29,161.21,164.3,160.49,1649908800000,29988,ABC,2022-04-14
256069.0,303.9342,306.32,306.08,306.35,298.45,1649908800000,9157,ABMD,2022-04-14
3140189.0,118.3137,120.05,117.69,120.249,117.56,1649908800000,39133,ABT,2022-04-14
458011.0,411.0656,416.0,409.82,417.87,407.37,1649908800000,17518,ALGN,2022-04-14
2861783.0,255.0237,254.4,254.02,257.57,253.65,1649908800000,49185,AMGN,2022-04-14
1571789.0,517.728,514.34,516.72,522.765,514.34,1649908800000,32477,ANTM,2022-04-14
3843071.0,76.7535,78.68,76.44,78.7575,75.97,1649908800000,31847,BAX,2022-04-14
921740.0,272.1345,272.22,271.68,274.13,270.14,1649908800000,19732,BDX,2022-04-14
917920.0,213.6765,214.4,212.55,216.0,212.2,1649908800000,18261,BIIB,2022-04-14
224566.0,551.3916,564.71,548.19,566.53,547.12,1649908800000,7148,BIO,2022-04-14
16730361.0,77.6192,77.04,77.51,78.12,76.79,1649908800000,106520,BMY,2022-04-14
5172331.0,44.2898,44.51,44.25,44.71,44.03,1649908800000,41146,BSX,2022-04-14
2924855.0,63.257,63.4,62.96,64.12,62.905,1649908800000,33215,CAH,2022-04-14
1257324.0,93.3228,93.43,93.3,93.43,93.26,1649908800000,10964,CERN,2022-04-14
1381120.0,260.0282,260.0,259.21,265.22,258.87,1649908800000,24000,CI,2022-04-14
1548702.0,87.044,86.79,86.54,88.19,86.47,1649908800000,20840,CNC,2022-04-14
217697.0,400.586,405.7,399.62,407.13,398.1,1649908800000,7426,COO,2022-04-14
389190.0,285.5334,289.82,284.63,290.19,281.59,1649908800000,10593,CRL,2022-04-14
1472832.0,97.7861,100.51,97.32,100.51,96.68,1649908800000,20919,CTLT,2022-04-14
5134829.0,104.4573,105.31,103.68,105.75,103.61,1649908800000,46177,CVS,2022-04-14
667044.0,136.3804,138.07,135.92,138.07,135.33,1649908800000,12836,DGX,2022-04-14
3094759.0,278.6132,285.14,276.98,285.23,276.32,1649908800000,48802,DHR,2022-04-14
500969.0,121.9722,121.2,121.45,123.19,121.2,1649908800000,10285,DVA,2022-04-14
410245.0,492.2018,499.4,492.11,500.0,487.52,1649908800000,13440,DXCM,2022-04-14
2361310.0,120.5768,122.28,120.02,122.5,119.59,1649908800000,34400,EW,2022-04-14
9750004.0,61.9127,62.07,61.82,62.36,61.5,1649908800000,56262,GILD,2022-04-14
1045896.0,261.0712,259.53,260.94,263.35,259.4,1649908800000,23679,HCA,2022-04-14
